text,sentiment,clean_text
Naibu Waziri wa Mambo ya Nje na Ushirikiano wa Afrika Mashariki Dkt Damas Ndumbaro na Katibu Mkuu Wizara ya Mambo ya Nje na Ushirikiano wa Afrika Mashariki Dkt Faraji Kasidi Mnyepe wamekutana na kufanya mazungumzo na Kaimu Balozi wa Marekani Bi Inmi Patterson,Positive,naibu waziri wa mambo ya nje na ushirikiano wa afrika mashariki dkt damas ndumbaro na katibu mkuu wizara ya mambo ya nje na ushirikiano wa afrika mashariki dkt faraji kasidi mnyepe wamekutana na kufanya mazungumzo na kaimu balozi wa marekani bi inmi patterson
Kuna mtu amewahiiii switch kutoka Branch kwenda Airtel Money? How was the process,Neutral,kuna mtu amewahi switch kutoka branch kwenda airtel money? how was the process
"Airtel network speed leo ni tu vile ni, sio mbaya saaana",Neutral,"airtel network speed leo ni tu vile ni, sio mbaya sana"
"Manze Branch wamenitoza 10k bila kunieleza, hii ni wizi wa fala 🙄",Negative,"manze branch wamenitoza 10k bila kunieleza, hii ni wizi wa fala"
"Faras app imeupdate, sijui kama features mpya ni poa au sio, maybe",Neutral,"faras app imeupdate, sijui kama features mpya ni poa au sio, maybe"
niko hapa nasubiri little app dere eta inaonyesha dakika tano,Neutral,niko hapa nasubiri little app dere eta inaonyesha dakika tano
"Niseme tu Little Cab wameokoa siku yangu, dere alikuja mapema na gari safi 😂🔥",Positive,"niseme tu little cab wameokoa siku yangu, dere alikuja mapema na gari safi"
"Big up Little app for the fast ride, this app is fya sasa 🎉",Positive,"big up little app for the fast ride, this app is fya sasa"
"Why is Tala interest rate so noma, wanachukua kidogo tu extra kila mwezi, ni wiziiii tu",Negative,"why is tala interest rate so noma, wanachukua kidogo tu extra kila mwezi, ni wizi tu"
"Telkom wametuma SMS kuhusu tariff changes, maybeee",Neutral,"telkom wametuma sms kuhusu tariff changes, maybe"
Telkom network speed leo ni ata sijui sio mbaya saaana,Neutral,telkom network speed leo ni ata sijui sio mbaya sana
"This Bolt aaapp app keeps crashing, kudunda kila time nina-book ride, mbogi ya helpline ni story mbaya 😡",Negative,"this bolt app app keeps crashing, kudunda kila time nina-book ride, mbogi ya helpline ni story mbaya"
Mwaka 1962 gazeti moja huko italia lilichapisha andiko na picha kuelezea maisha yatakavyo kuwa mwaka 2022,Neutral,mwaka 1962 gazeti moja huko italia lilichapisha andiko na picha kuelezea maisha yatakavyo kuwa mwaka 2022
"Nimeona Airtel Money wameongezaaaa terms, sijasoma zote",Neutral,"nimeona airtel money wameongeza terms, sijasoma zote"
"Sawa kabisa, Uber wamenipea dere mzuri na bei poa, hakuna noma ✅",Positive,"sawa kabisa, uber wamenipea dere mzuri na bei poa, hakuna noma"
"Uber app imeupdate, sijui kama features mpyaaaa ni poa au sio, sina maoni mengi",Neutral,"uber app imeupdate, sijui kama features mpya ni poa au sio, sina maoni mengi"
"That Airteeeeel 5G speed ni noma kwa maana nzuri, downloads zinaenda fast sana 😊",Positive,"that airtel 5g speed ni noma kwa maana nzuri, downloads zinaenda fast sana"
Asante kwa kufanikisha safari yetu ya mwaka 2017 tunakutakia Amani pamoja na Afya njema Kheri ya Sikukuu za Christmas na Mwaka mpya,Positive,asante kwa kufanikisha safari yetu ya mwaka 2017 tunakutakia amani pamoja na afya njema kheri ya sikukuu za christmas na mwaka mpya
Pia tumetoa zawadi kwenye wodi ya akina mama katika kituo cha afya cha Makole Jijini Dodoma tulipofika kufanya usafi pamoja na kutoa misaada ya vitu mbalimbali,Positive,pia tumetoa zawadi kwenye wodi ya akina mama katika kituo cha afya cha makole jijini dodoma tulipofika kufanya usafi pamoja na kutoa misaada ya vitu mbalimbali
"Naona Faras na Uber fares ni almost same leo, kawaida",Neutral,"naona faras na uber fares ni almost same leo, kawaida"
Sawa Tala transaction ilifanikiwa fast leo pesa zikaingia haraka,Positive,sawa tala transaction ilifanikiwa fast leo pesa zikaingia haraka
Asante kwenu Salma Ngwila na Rama Ngozi kwa kuifanya Cloudsfm Radio kuwa sehemu ya maisha yenu 1044 Dodoma,Positive,asante kwenu salma ngwila na rama ngozi kwa kuifanya cloudsfm radio kuwa sehemu ya maisha yenu 1044 dodoma
Anyone knows kama Little app support team wanafanya kazi weekends,Neutral,anyone knows kama little app support team wanafanya kazi weekends
"Nashangaa kama Airtel watabadilisha bundle prices mwezi huu, labda",Neutral,"nashangaa kama airtel watabadilisha bundle prices mwezi huu, labda"
"Safaricom network speed leo ni tu vileee ni, sio mbaya saaana",Neutral,"safaricom network speed leo ni tu vile ni, sio mbaya sana"
"Nimesubiri Faras two days bila dere kupatikana, app inanidunda 🙄",Negative,"nimesubiri faras two days bila dere kupatikana, app inanidunda"
"Naona Faras na Bolt fares ni almost same leo, sina maoniiiii mengi",Neutral,"naona faras na bolt fares ni almost same leo, sina maoni mengi"
Nikooo hapa nasubiri Faras dere ETA inaonyesha dakika tano,Neutral,niko hapa nasubiri faras dere eta inaonyesha dakika tano
"Equity Bank loan approval ilikuja within minutes, hii app ni poa kweli",Positive,"equity bank loan approval ilikuja within minutes, hii app ni poa kweli"
"Uber Kenya app inafanya kazi ya kunigonga sawa leo, no delays, ata booking ilikuwa rahisi 😊",Positive,"uber kenya app inafanya kazi ya kunigonga sawa leo, no delays, ata booking ilikuwa rahisi"
Tunaomba namba yako ya simu ndugu mteja kwa ajili ya kufika hapo,Neutral,tunaomba namba yako ya simu ndugu mteja kwa ajili ya kufika hapo
"Little Cab driver alikuwa ya kunichizisha, hakujua route, tukapotea wiki nzima, customer care wakaniboo zaidi",Negative,"little cab driver alikuwa ya kunichizisha, hakujua route, tukapotea wiki nzima, customer care wakaniboo zaidi"
"Asante Branch kwa hizo hidden charges, very transparent of you 😂",Negative,"asante branch kwa hizo hidden charges, very transparent of you"
"Little app app inafanya kazi ya kunibamba leo, no delays, ata booking ilikuwa rahisi 🎉",Positive,"little app app inafanya kazi ya kunibamba leo, no delays, ata booking ilikuwa rahisi"
nimepoteza 50 bob kwa m-pesa app kwa transaction iliyofail lakini hawajarudisha pesa customer service ni mafala,Negative,nimepoteza 50 bob kwa m-pesa app kwa transaction iliyofail lakini hawajarudisha pesa customer service ni mafala
"Airtel Money app imeongeza feature mpya ya kutuma pesa kwa group, sijaitry bado",Neutral,"airtel money app imeongeza feature mpya ya kutuma pesa kwa group, sijaitry bado"
"Telkooooom customer service hawawezi solve hii bundle issue, nimepiga simu mara tano, ni mafala",Negative,"telkom customer service hawawezi solve hii bundle issue, nimepiga simu mara tano, ni mafala"
"Nataka tu kusema KCB mnatuonea, kila siku charges mpya, hata sijui za nini, ni wapuuzi tu mnaofanya hivi",Negative,"nataka tu kusema kcb mnatuonea, kila siku charges mpya, hata sijui za nini, ni wapuuzi tu mnaofanya hivi"
Bolt app fare kutoka CBD kwenda Westlands ni around 10000000 bob depending on traffic,Neutral,bolt app fare kutoka cbd kwenda westlands ni around 10 bob depending on traffic
Mambo ya kujua kabla ya kuwekeza kwenye kilimo 1 Uhakika wa mnunuzi wa mazao yako 2 Mahitaji ya bidhaa ya wanunuziwateja wako katika misimu 3 Njia rahisiza gharama nafuu za kuwafikishia wateja bidhaa 4 Jua gharama halisiActual Investment cost ya uzalishaji,Positive,mambo ya kujua kabla ya kuwekeza kwenye kilimo 1 uhakika wa mnunuzi wa mazao yako 2 mahitaji ya bidhaa ya wanunuziwateja wako katika misimu 3 njia rahisiza gharama nafuu za kuwafikishia wateja bidhaa 4 jua gharama halisiactual investment cost ya uzalishaji
Pamoja Na Kuwa Na Followers Laki Mbili Awali Lakini Impression Ilikuwa Million Nne TuLeo Followers Elfu Tano Tu Tuna Im,Positive,pamoja na kuwa na followers laki mbili awali lakini impression ilikuwa million nne tuleo followers elfu tano tu tuna im
"Little Cab hawa wa support hawajibuuuu calls zangu, hii huduma ni noma kabisa, wame-ignore complaint yangu",Negative,"little cab hawa wa support hawajibu calls zangu, hii huduma ni noma kabisa, wame-ignore complaint yangu"
"Thanks Telkom for the 'fast' 4G that loads nothing for from yesterday, very impressiveeeee 😅",Negative,"thanks telkom for the 'fast' 4g that loads nothing for from yesterday, very impressive"
KCB interest ni ok lakini app inalag wakati mwingine so so,Neutral,kcb interest ni ok lakini app inalag wakati mwingine so so
"Tala system imekuwa down for for like an hour, sina access kwa pesa zangu, hii ni ya hovyo",Negative,"tala system imekuwa down for for like an hour, sina access kwa pesa zangu, hii ni ya hovyo"
Karibu sana Nyumbani,Positive,karibu sana nyumbani
"Bolt app app imeupdate, sijui kama features mpya ni poa au sioooo, labda",Neutral,"bolt app app imeupdate, sijui kama features mpya ni poa au sio, labda"
"Naskia Faras wamebadilika, fare ikienda down na huduma ni legit 👏🏾",Positive,"naskia faras wamebadilika, fare ikienda down na huduma ni legit"
"KCB app interest ni ok lakini app inalag wakati mwingine, so so",Neutral,"kcb app interest ni ok lakini app inalag wakati mwingine, so so"
airtel helpline hawawezi solve hii bundle issue nimepiga simu mara tano ni wasee wa kuongea tu,Negative,airtel helpline hawawezi solve hii bundle issue nimepiga simu mara tano ni wasee wa kuongea tu
Branch interest ni ok lakini app inalag wakati mwingine bado nasubiri,Neutral,branch interest ni ok lakini app inalag wakati mwingine bado nasubiri
Kaya 67 zilizopo kata ya Mbesa wilayani Tunduru mkoani Ruvuma zimekosa mahali pa kuishi baada ya nyumba zao zikiwemo nyumba za shule na madarasa kuezuliwa na upepo,Negative,kaya 67 zilizopo kata ya mbesa wilayani tunduru mkoani ruvuma zimekosa mahali pa kuishi baada ya nyumba zao zikiwemo nyumba za shule na madarasa kuezuliwa na upepo
"Why does Little app cancel my rideeee bila warning, nimepoteza ile pesa kwa cancellation fee, ya kunidunda sana hii",Negative,"why does little app cancel my ride bila warning, nimepoteza ile pesa kwa cancellation fee, ya kunidunda sana hii"
Habari fika Kilombero madukani kuna duka letuKA,Positive,habari fika kilombero madukani kuna duka letuka
"Why does Bolt cancel my ride bila warning, nimepoteza pesa zangu zote kwa cancellation fee, ya kunizima sana hiiii",Negative,"why does bolt cancel my ride bila warning, nimepoteza pesa zangu zote kwa cancellation fee, ya kunizima sana hi"
Naona Little app na Uber Kenya fares ni almost same leo sio mbaya sio mzuri,Neutral,naona little app na uber kenya fares ni almost same leo sio mbaya sio mzuri
"This Uber app keeps crashing, kudunda kila time nina-book ride, mbogi ya support team ni wajinga 👎🏾",Negative,"this uber app keeps crashing, kudunda kila time nina-book ride, mbogi ya support team ni wajinga"
"Bolt dere alikuwa poa lkn gari ilikuwa na harufu mbaya, so so tu overall",Neutral,"bolt dere alikuwa poa lkn gari ilikuwa na harufu mbaya, so so tu overall"
"Jameni Airtel Money wamenitoza ile pesa bila kunieleza, hii ni wizi wa fala 🙄",Negative,"jameni airtel money wamenitoza ile pesa bila kunieleza, hii ni wizi wa fala"
little app app,Negative,little app app
"Airtel Money loan approval ilikuja within minutes, hii app ni sawa kabisa kweli 🙏🏾",Positive,"airtel money loan approval ilikuja within minutes, hii app ni sawa kabisa kweli"
m-pesa app interest ni ok lakini app inalag wakati mwingine bado nasubiri,Neutral,m-pesa app interest ni ok lakini app inalag wakati mwingine bado nasubiri
Unapata changamoto gani tafadhali,Neutral,unapata changamoto gani tafadhali
"Nimeona Tala wameongeza terms, sijasoma zote",Neutral,"nimeona tala wameongeza terms, sijasoma zote"
leo nimetumia little cab kutoka town kwenda home ride ilikuwa kawaida,Neutral,leo nimetumia little cab kutoka town kwenda home ride ilikuwa kawaida
Bolt app app inafanya kazi ya kunigonga sawa leo no delays ata booking ilikuwa rahisi,Positive,bolt app app inafanya kazi ya kunigonga sawa leo no delays ata booking ilikuwa rahisi
Lakini nimmshukuru kwa namna ya pekee Mhe Rais Ndugu ya Nurdin Hajji kwa niaba ya Serikali ya Jamhuri ya Kenya kwamba mara nyingi tumekuwa tunashirikiana naye na msimamo wangu na wake ni mmoja  MgangaDPP,Positive,lakini nimmshukuru kwa namna ya pekee mhe rais ndugu ya nurdin hajji kwa niaba ya serikali ya jamhuri ya kenya kwamba mara nyingi tumekuwa tunashirikiana naye na msimamo wangu na wake ni mmoja mgangadpp
"Faras wametuma promo code kwa email, sijui kama itafanya kazi kwa app",Neutral,"faras wametuma promo code kwa email, sijui kama itafanya kazi kwa app"
Mungu tusaidie mafirstborn wote amen,Positive,mungu tusaidie mafirstborn wote amen
that bolt rider alikuwa sawa kabisa polite na anajua route naye anaongea sheng poa ✅,Positive,that bolt rider alikuwa sawa kabisa polite na anajua route naye anaongea sheng poa
Kuna kipindi rafiki yangu mmoja alikuwa ananitongozea girlfriend wangu Na alikuwa kabisa anajua mimi ndio natoka nae ht,Negative,kuna kipindi rafiki yangu mmoja alikuwa ananitongozea girlfriend wangu na alikuwa kabisa anajua mimi ndio natoka nae ht
"Faras customer service hawajibu calls zangu, hii huduma ni ya kuniboo kabisa, wame-ignore complaint yangu",Negative,"faras customer service hawajibu calls zangu, hii huduma ni ya kuniboo kabisa, wame-ignore complaint yangu"
"Telkom network speeeed leo ni sio mbaya sio mzuri, sio mbaya sana",Neutral,"telkom network sped leo ni sio mbaya sio mzuri, sio mbaya sana"
"M-Pesa app imeongeza feature mpya ya kutuma pesa kwa group, sijaitry badooo",Neutral,"m-pesa app imeongeza feature mpya ya kutuma pesa kwa group, sijaitry bado"
That Safaricom 5G speed ni noma kwa maana nzuri downloads zinaendaaaa fast sana 😎,Positive,that safaricom 5g speed ni noma kwa maana nzuri downloads zinaenda fast sana
"Nimefurahi na Little app leo, gari ilifika in two minutes, driver ni mtu wa noma kwa maana nzuri 💯",Positive,"nimefurahi na little app leo, gari ilifika in two minutes, driver ni mtu wa noma kwa maana nzuri"
"Airtel wametuma SMS kuhusu tariff changes, sina maoni mengi",Neutral,"airtel wametuma sms kuhusu tariff changes, sina maoni mengi"
nimefurahi na bolt leo gari ilifika in two minutes dere ni mtu wa ya kunigonga sawa,Positive,nimefurahi na bolt leo gari ilifika in two minutes dere ni mtu wa ya kunigonga sawa
"Sawa kabisa, Faras wamenipea dere mzuri na bei poa, hakuna noma 💯",Positive,"sawa kabisa, faras wamenipea dere mzuri na bei poa, hakuna noma"
"Telkom wameniongezeaaaaa 1000 bob bila kunieleza, hii ni wizi wa fala",Negative,"telkom wameniongezea 10 bob bila kunieleza, hii ni wizi wa fala"
"Sasa Uber Kenya wananiongezea bei kila siku lakini huduma ni ya ya kunichizisha, customer care ni wajinga",Negative,"sasa uber kenya wananiongezea bei kila siku lakini huduma ni ya ya kunichizisha, customer care ni wajinga"
"Niseme tu Uber Kenya wameokoa siku yangu, dere alikuja mapema na gari safi 👏🏾",Positive,"niseme tu uber kenya wameokoa siku yangu, dere alikuja mapema na gari safi"
"M-pesa wamesema watafanya maintenance leo usiku, ata sijui",Neutral,"m-pesa wamesema watafanya maintenance leo usiku, ata sijui"
"Eish Safaricom network imekufa the whole morning, sina connection kabisa 🤬",Negative,"eish safaricom network imekufa the whole morning, sina connection kabisa"
Ahsante sana kwa kutumia huduma zetu Ushauri wako umepokelewa mambo mazuri yanakuja Endelea kutuunga mkono,Positive,ahsante sana kwa kutumia huduma zetu ushauri wako umepokelewa mambo mazuri yanakuja endelea kutuunga mkono
"This Faras app keeps crashing, kudunda kila time nina-book ride, mbogi ya support team ni mbogi ya noma 🤬",Negative,"this faras app keeps crashing, kudunda kila time nina-book ride, mbogi ya support team ni mbogi ya noma"
"Data za Safaricom zinaisha kwa speed ya ajabu, hii ni noma ya kunidunda 😒",Negative,"data za safaricom zinaisha kwa speed ya ajabu, hii ni noma ya kunidunda"
"Little Cab wametuma promo code kwa email, sijui kama itafanyaaaa kazi kwa app",Neutral,"little cab wametuma promo code kwa email, sijui kama itafanya kazi kwa app"
24 Rafiki mpya anakuwezesha kupata mpaka Tshs 2000 kwa kufuata vigezo hivi 1 Anaweza kucheza mechi moja kwa soko la njia tatu na odds ziwe 130 au zaidi katika mpira wa miguu 2 Anaweza weka bashiri yoyote ya mechi nyingi 3 Jenga b,Neutral,24 rafiki mpya anakuwezesha kupata mpaka tshs 20 kwa kufuata vigezo hivi 1 anaweza kucheza mechi moja kwa soko la njia tatu na odds ziwe 130 au zaidi katika mpira wa miguu 2 anaweza weka bashiri yoyote ya mechi nyingi 3 jenga b
Ninachoshangaa zaidi ni kuwa miongoni mwetu wengine tunatoa Kauli za Kubeza Kwani ukinyamaza wakati wenzio wa,Neutral,ninachoshangaa zaidi ni kuwa miongoni mwetu wengine tunatoa kauli za kubeza kwani ukinyamaza wakati wenzio wa
M-Shwari app inadunda kila siku sijawahi login bila error hii ni ya hovyo kabisa 😒,Negative,m-shwari app inadunda kila siku sijawahi login bila error hii ni ya hovyo kabisa
sawa m-pesa transaction ilifanikiwa fast leo pesa zikaingia haraka 😊,Positive,sawa m-pesa transaction ilifanikiwa fast leo pesa zikaingia haraka
"That Uber Kenya dere alikuwa sawa kabisa, polite na anajua route, naye anaongea Sheng poa 👏🏾",Positive,"that uber kenya dere alikuwa sawa kabisa, polite na anajua route, naye anaongea sheng poa"
"KCB app wamenisave leo, nilikuwa na emergency na loan ikaapprove fast, asanteeee sana 👏🏾",Positive,"kcb app wamenisave leo, nilikuwa na emergency na loan ikaapprove fast, asante sana"
Rais Magufuli atuma salamu za rambirambi vifo vya vijana wa JKT 11 Askari JWTZ 1 na Dereva vilivyotokea Mbeya,Negative,rais magufuli atuma salamu za rambirambi vifo vya vijana wa jkt 11 askari jwtz 1 na dereva vilivyotokea mbeya
Haujachelewa kufanikisha mipango yako kwa kujiwekea akiba yako kwenye TIMIZA AKIBA PIGA 15060,Neutral,haujachelewa kufanikisha mipango yako kwa kujiwekea akiba yako kwenye timiza akiba piga 15060
"Nimesubiri Ubeeer the whole morning bila dere kupatikana, app inanidunda 🙄",Negative,"nimesubiri uber the whole morning bila dere kupatikana, app inanidunda"
"Eee poa Little app ilinitumia driver mzuri leo, the ride was fiti 😂🔥",Positive,"e poa little app ilinitumia driver mzuri leo, the ride was fiti"
Naskia Bolt wamebadilika fare ikienda down na huduma ni freshi ✅,Positive,naskia bolt wamebadilika fare ikienda down na huduma ni freshi
"Nashukuru KCB app customer care walinisaidia kurudisha balance yangu ilikuwa imepotea, huduma ni bomba",Positive,"nashukuru kcb app customer care walinisaidia kurudisha balance yangu ilikuwa imepotea, huduma ni bomba"
thanks safaricom for the 'fast' 4g that loads nothing for forever very impressive 😂,Negative,thanks safaricom for the 'fast' 4g that loads nothing for forever very impressive
Nimepoteza 5k kwa KCB kwa transaction iliyofail lakini hawajarudisha pesa helpline ni wapuuzi,Negative,nimepoteza 5k kwa kcb kwa transaction iliyofail lakini hawajarudisha pesa helpline ni wapuuzi
Nataka tu kusema M-Pesa app mnatuonea kila siku charges mpya hata sijui za nini ni wapuuzi tu mnaofanya hivi,Negative,nataka tu kusema m-pesa app mnatuonea kila siku charges mpya hata sijui za nini ni wapuuzi tu mnaofanya hivi
Anyone knows Airtel customer care number mpyaaaa,Neutral,anyone knows airtel customer care number mpya
"That Bolt app driver alikuwa poa, polite na anajua route, naye anaongea Sheng poa",Positive,"that bolt app driver alikuwa poa, polite na anajua route, naye anaongea sheng poa"
Oh wow Bolt app thank you so much for cancelling my ride after from yesterday of waiting very professional indeed lol,Negative,oh wow bolt app thank you so much for cancelling my ride after from yesterday of waiting very professional indeed lol
Tala system imekuwa down for dakikaaaa kumi sina access kwa pesa zangu hii ni wack,Negative,tala system imekuwa down for dakika kumi sina access kwa pesa zangu hii ni wack
Nimefurahi na Little app leo gari ilifika in two minutes driver ni mtu wa bomba 🎉,Positive,nimefurahi na little app leo gari ilifika in two minutes driver ni mtu wa bomba
love it when m-pesa app 'protects my money' by freezing my account for no reason great service lol,Negative,love it when m-pesa app 'protects my money' by freezing my account for no reason great service lol
"Naona Bolt na Bolt app fares ni almost same leo, labda",Neutral,"naona bolt na bolt app fares ni almost same leo, labda"
"Bolt app wametumaaa promo code kwa email, sijui kama itafanya kazi kwa app",Neutral,"bolt app wametuma promo code kwa email, sijui kama itafanya kazi kwa app"
"Why does Little Cab cancel my ride bila warning, nimepoteza 300 bob kwa cancellation fee, ya kunichizisha sana hii",Negative,"why does little cab cancel my ride bila warning, nimepoteza 300 bob kwa cancellation fee, ya kunichizisha sana hii"
"Biiiiig up Bolt for the fast pickup, this app is ya kunibamba sasa 💪🏾",Positive,"big up bolt for the fast pickup, this app is ya kunibamba sasa"
"Nimekuwa nikiwait saa nzima M-Shwari kunijibu kuhusu pesa zangu zilizopotea, support yao ni wasee wa kukalia pesa za watu 🙄",Negative,"nimekuwa nikiwait saa nzima m-shwari kunijibu kuhusu pesa zangu zilizopotea, support yao ni wasee wa kukalia pesa za watu"
Upo sahihi Haimaanishi Mkoa ambao una asilimia kubwa ndio Mkoa ambao una idadi kubwa maana hiyo inatokana na wingi watu k,Neutral,upo sahihi haimaanishi mkoa ambao una asilimia kubwa ndio mkoa ambao una idadi kubwa maana hiyo inatokana na wingi watu k
hii little cab rider alikuwa akiongea na simu wakati anaendesha ni hatari na ni ya kuninyonya 🤬,Negative,hii little cab rider alikuwa akiongea na simu wakati anaendesha ni hatari na ni ya kuninyonya
"Sijawahi pata signal poa kwa Telkom kwa hii estate, network ni mbaya kabisa 🙄",Negative,"sijawahi pata signal poa kwa telkom kwa hii estate, network ni mbaya kabisa"
Uber Kenya helpline ni mbogi ya noma nimetuma complaint mara nne hakuna majibu 🙄,Negative,uber kenya helpline ni mbogi ya noma nimetuma complaint mara nne hakuna majibu
KCB wamesema watafanya maintenance leo usiku maybe,Neutral,kcb wamesema watafanya maintenance leo usiku maybe
naskia little cab wamebadilika fare ikienda down na huduma ni ya kunibamba 💪🏾,Positive,naskia little cab wamebadilika fare ikienda down na huduma ni ya kunibamba
"M-Pesa wamesema watafanya maintenance leo usiku, labda",Neutral,"m-pesa wamesema watafanya maintenance leo usiku, labda"
Nimefurahi na Faras leo gari ilifika in two minutes dere ni mtu wa poa 🎉,Positive,nimefurahi na faras leo gari ilifika in two minutes dere ni mtu wa poa
"Poa sana Uber ilinitumia rider mzuri leo, the ride was legit 🔥🔥",Positive,"poa sana uber ilinitumia rider mzuri leo, the ride was legit"
ukienda kulala nyumbani kwa mwanamke ambaye kodi ulipi wewe unakuwa unaishi kwa wasiwasi kama mlinzi ambaye analinda vichaa milembe pia unaweza hata kufukuzwa usiku wa manane na huna cha kumfanya,Negative,ukienda kulala nyumbani kwa mwanamke ambaye kodi ulipi wewe unakuwa unaishi kwa wasiwasi kama mlinzi ambaye analinda vichaa milembe pia unaweza hata kufukuzwa usiku wa manane na huna cha kumfanya
nimepoteza 2k kwa kcb app kwa transaction iliyofail lakini hawajarudisha pesa hawa wa support ni wasee wa kunichizisha,Negative,nimepoteza 2k kwa kcb app kwa transaction iliyofail lakini hawajarudisha pesa hawa wa support ni wasee wa kunichizisha
"Oh wow Little app, thank you so much for cancelling my ride after the whole morning of waiting, very professional indeed 😂",Negative,"oh wow little app, thank you so much for cancelling my ride after the whole morning of waiting, very professional indeed"
"Why is Equitel interest rate so noma, wanachukua 300 bob extra kila mwezi, ni wizi tu",Negative,"why is equitel interest rate so noma, wanachukua 300 bob extra kila mwezi, ni wizi tu"
Hii M-Shwari loan interest si mchezo wananidunda kabisa kwa hizo fees za hovyo,Negative,hii m-shwari loan interest si mchezo wananidunda kabisa kwa hizo fees za hovyo
"Uber fiti leo, dere alikuwa on time 💪🏾",Positive,"uber fiti leo, dere alikuwa on time"
"Hii Bolt dere alikuwa akiongea na simu wakati anaendesha, ni hatari na ni mbaya kabisa",Negative,"hii bolt dere alikuwa akiongea na simu wakati anaendesha, ni hatari na ni mbaya kabisa"
9wale ambao wamekosa namba kazi yao ni kufata mpira ukitoka 10yule mtaalam wa soka huwa hakoc namba ata cku moja Ukiikumbuka lazima utabasam,Neutral,9wale ambao wamekosa namba kazi yao ni kufata mpira ukitoka 10yule mtaalam wa soka huwa hakoc namba ata cku moja ukiikumbuka lazima utabasam
"Branch wamenibloki account yangu bila reason, nimepiga hawa wa support mara nne, hii ni noma ya kuniboo 👎🏾",Negative,"branch wamenibloki account yangu bila reason, nimepiga hawa wa support mara nne, hii ni noma ya kuniboo"
"Big up Bolt for the fast pickup, this app is legit sasa 😎",Positive,"big up bolt for the fast pickup, this app is legit sasa"
Naona Uber Kenya na Little app fares ni almoooost same leo bado nasubiri,Neutral,naona uber kenya na little app fares ni almost same leo bado nasubiri
"Niceee Branch transaction ilifanikiwa fast leo, pesa zikaingia harakaaaaa 🎉",Positive,"nice branch transaction ilifanikiwa fast leo, pesa zikaingia haraka"
Nimepoteza 500 bob kwa Equitel kwa transaction iliyofail lakini hawajarudisha pesa hawa wa support ni mbogi ya noma,Negative,nimepoteza 500 bob kwa equitel kwa transaction iliyofail lakini hawajarudisha pesa hawa wa support ni mbogi ya noma
Manze nimetuma pesa kwa wrong number kupitia Airtel Money na hawawezi kurudisha customer care ni wasee wa kukalia pesa za watu,Negative,manze nimetuma pesa kwa wrong number kupitia airtel money na hawawezi kurudisha customer care ni wasee wa kukalia pesa za watu
Thanks Safaricom for the 'fast' 4G that loads nothing for from yesterday very impressive 🙃,Negative,thanks safaricom for the 'fast' 4g that loads nothing for from yesterday very impressive
sawa airtel network imekuwa stable leo internet ni mzuri sana 😊,Positive,sawa airtel network imekuwa stable leo internet ni mzuri sana
"Faras customer care hawajibu calls zangu, hii huduma ni ya kunidunda kabisa, wame-ignore complaint yangu",Negative,"faras customer care hawajibu calls zangu, hii huduma ni ya kunidunda kabisa, wame-ignore complaint yangu"
Watu watakuumiza Bila shaka Hata wanafamilia wanaweza kukuumiza Lakini kumbuka unawajibika kwa muda gani unaruhusu kile kinachokuumiza kukuandama Ukweli hautawahi kupata furaha hadi moyo wako uambatanishwe na Yule aliyekuumba Chochote kingine hukosa,Neutral,watu watakuumiza bila shaka hata wanafamilia wanaweza kukuumiza lakini kumbuka unawajibika kwa muda gani unaruhusu kile kinachokuumiza kukuandama ukweli hautawahi kupata furaha hadi moyo wako uambatanishwe na yule aliyekuumba chochote kingine hukosa
